,id,title,classification,publication_date,page_count,content_type
0,CIA-RDP82-00850R000400050051-6,JPRS ID: 10001  USSR REPORT ECONOMIC AFFAIRS DETERIORIZATION OF SOVIET ECONOMIC INFORMATION ANALYZED,U,,31,REPORTS
1,CIA-RDP82-00850R000400050053-4,JPRS ID: 10003  SOUTH AND EAST ASIA REPORT,U,,17,REPORTS
2,CIA-RDP82-00850R000400050055-2,"JPRS ID: 10005  CHINA REPORT POLITICAL, SOCIOLOGICAL AND MILITARY AFFAIRS",U,,42,REPORTS
3,CIA-RDP82-00850R000400050057-0,JPRS ID: 10007  WEST EUROPE REPORT,U,,33,REPORTS
4,CIA-RDP82-00850R000400050058-9,JPRS ID: 10008  SUB-SAHARAN AFRICA REPORT,U,,72,REPORTS
5,CIA-RDP82-00850R000400050059-8,JPRS ID: 10009  JAPAN REPORT,U,,29,REPORTS
6,CIA-RDP82-00850R000400050060-6,JPRS ID: 10010  LATIN AMERICA REPORT,U,,28,REPORTS
7,CIA-RDP82-00850R000400050061-5,JPRS ID: 10011  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,50,REPORTS
8,CIA-RDP82-00850R000400050062-4,JPRS ID: 10012  WORLDWIDE REPORT ENVIRONMENTAL QUALITY,U,,11,REPORTS
9,CIA-RDP82-00850R000400050063-3,JPRS ID: 10013  USSR REPORT ENERGY,U,,25,REPORTS
10,CIA-RDP82-00850R000400050064-2,JPRS ID: 10014  VIETNAM REPORT,U,,15,REPORTS
11,CIA-RDP82-00850R000400050065-1,JPRS ID: 10015  TRANSLATION WORKS OF THE 10TH ALL-UNION SEMINAR ON STATISTICAL HYDROACOUSTICS ED. BY,U,,170,REPORTS
12,CIA-RDP82-00850R000400050066-0,JPRS ID: 10016  NEAR EAST/NORTH AFRICA REPORT,U,,51,REPORTS
13,CIA-RDP82-00850R000400050067-9,"JPRS ID: 10017  USSR REPORT CYBERNETICS, COMPUTERS AND AUTOMATION TECHNOLOGY",U,,203,REPORTS
14,CIA-RDP82-00850R000400050068-8,JPRS ID: 10018  USSR REPORT ELECTRONICS AND ELECTRICAL ENGINEERING,U,,97,REPORTS
15,CIA-RDP82-00850R000400050069-7,"JPRS ID: 10019  WORLDWIDE REPORT TELECOMMUNICATIONS POLICY, RESEARCH AND DEVELOPMENT",U,,22,REPORTS
16,CIA-RDP82-00850R000400050070-5,JPRS ID: 10020  WEST EUROPE REPORT,U,,34,REPORTS
17,CIA-RDP82-00850R000400050071-4,JPRS ID: 10021  USSR REPORT POLITICAL AND SOCIOLOGICAL AFFAIRS,U,,23,REPORTS
18,CIA-RDP82-00850R000400050072-3,JPRS ID: 10022  WORLDWIDE REPORT NARCOTICS AND DANGEROUS DRUGS,U,,67,REPORTS
19,CIA-RDP82-00850R000400050073-2,JPRS ID: 10023  USSR REPORT ECONOMIC AFFAIRS,U,,24,REPORTS
20,CIA-RDP82-00850R000400060001-0,JPRS ID: 10024  USSR REPORT CONSTRUCTION AND EQUIPMENT,U,,16,REPORTS
21,CIA-RDP82-00850R000400060003-8,JPRS ID: 10026  USSR REPORT TRANSPORTATION,U,,13,REPORTS
