,id,acronym,def
0,AARMA1,A/ARMA,Assistant Army Attache
1,AC1,AC,Advisory Committee
2,ADDP1,ADDP,"Assist Deputy Director of Plans, Central Intelligence Agency"
3,ADECO1,ADECO,Programa de Adiestramientode Extensionista en Comunicaciones
4,ADMIN1,ADMIN,Administrative Section
5,AEC1,AEC,Atomic Energy Commission
6,AFAFN1,AF/AFN,"Office of Northern African Affairs, Bureau of African Affairs, Department of State"
7,AFAFW1,AF/AFW,"Office of West Coast and Malian Affairs, Bureau of African Affairs, Department of State"
8,AFB1,AFB,Air Force Base
9,AFN1,AFN,"Office of Northern African Affairs, Bureau of African Affairs, Department of State"
10,AFP1,AFP,Agence France Presse
11,AID1,AID,U.S. Agency for International Development
12,AIRA1,AIRA,Air Force Attache
13,ALCAN1,ALCAN,"Aluminum Company of Canada, Guyana"
14,ALCOA1,ALCOA,Aluminum Company of America
15,ALN1,ALN,Armee de la Liberation Nationale; National Army of Liberation (Algeria)
16,AMCONSUL1,AMCONSUL,U.S. Consul
17,ANC1,ANC,Armee Nationale Congalaise
18,ARA1,ARA,Bureau of Inter-American Affairs
19,ARAAPU1,ARA/APU,"Bureau of Inter-American Affairs, Office of Argentine, Paraguayan, and Uruguayan Affairs"
20,ARABC1,ARA/BC,"Bureau of Inter-American Affairs, Office of Bolivian and Chilean Affairs"
21,ARABR1,ARA/BR,"Bureau of Inter-American Affairs, Office of Brazilian Affairs"
22,ARACAR1,ARA/CAR,"Bureau of Inter-American Affairs, Office of Caribbean Affairs"
23,ARACCA1,ARA/CCA,"Bureau of Inter-American Affairs, Office of the Coordinator of Cuban Affairs"
24,ARACEN1,ARA/CEN,"Bureau of Inter-American Affairs, Office of Central American Affairs"
25,ARAECP1,ARA/ECP,"Bureau of Inter-American Affairs, Office of Regional Economic Policy"
26,ARAEP1,ARA/EP,"Bureau of Inter-American Affairs, Office of Ecuadorian and Peruvian Affairs"
27,ARALA1,ARA/LA,"Bureau of Inter-American Affairs, Bureau for Latin America"
28,ARAMEX1,ARA/MEX,"Bureau of Inter-American Affairs, Office of Mexican Affairs"
29,ARANC1,ARA/NC,"Bureau of Inter-American Affairs, Office of North Coast Affairs"
30,ARANSCIG1,ARA/NSC-IG,"Bureau of Inter-American Affairs, Staff Director, National Security Council Interdepartmental Group"
31,ARAPAN1,ARA/PAN,"Bureau of Inter-American Affairs, Office of Panamanian Affairs"
32,ARAPLC1,ARA/PLC,"Bureau of Inter-American Affairs, Office of Policy and Coordination"
33,ARAPPC1,ARA/PPC,"Bureau of Inter-American Affairs, Office of Policy Planning, Public and Congressional Affairs"
34,ARMA1,ARMA,Army Attache
35,ASW1,ASW,Anti-submarine Warfare
36,Abako1,Abako,Alliance des Ba-Kongo Party
37,AmEmbassy1,AmEmbassy,American Embassy
38,Amcit1,Amcit,American Citizen
39,BNA1,BNA,"Office of British Commonwealth and Northern European Affairs, Bureau of European Affairs, Department of State"
40,BNDD1,BNDD,Bureau of Narcotics and Dangerous Drugs
41,BOB1,BOB,Bureau of the Budget
42,C1,C,"Counselor, Secretary of State"
43,CAB1,CAB,Civil Aeronautics Board
44,CAC1,CAC,United Nations Advisory Committee on the Congo
