,id,acronym,def
0,t_AP_1,AP,Associated Press
1,t_ARA_1,ARA,"or ARA/LA, Bureau of Inter-American Affairs, Department of State/Bureau for Latin America, Agency for International Development"
2,t_ASNE_1,ASNE,American Society of Newspaper Editors
3,t_B1_1,B-1,"American long-range bomber
BA, Bachelor of Arts
BBC, British Broadcasting Corporation
BFS, Board of Foreign Scholarships
BIB, Board for International Broadcasting
BJ, Barry Jagoda BNC, bi-national center (USIS)"
4,t_CBS_1,CBS,Columbia Broadcasting System
5,t_CDU_1,CDU,"Christliche Demokratische Union (Christian Democratic Union), West German political party"
6,t_CSCE_1,CSCE,Conference for Security and Cooperation in Europe
7,t_CSU_1,CSU,"Christliche-Soziale Union (Christian Social Union, West Germany)"
8,t_CTB_1,CTB,comprehensive test ban
9,t_DA_1,DA,"D, Democrat; Deputy Secretary of State , Department of the Army DAO
, Defense Attache Office DAS
, Departamento Administrativa de Seguidad (Administrative Security Department), Colombia DATT
, Defense Attache DC
, developed country DCI , Director of Central Intelligence DCM
, Deputy Chief of Mission DDI
, Deputy Director of Intelligence, Central Intelligence Agency DDO
, Deputy Director of Operations, Central Intelligence Agency DEA
, Drug Enforcement Administration DEFATT
, Defense Attache D/HA
, Coordinator for Humanitarian Affairs, Department of State D/HA/ORM
, Office of the Coordinator for Refugee and Migration Affairs, Department of State D/HR
, Deputy Coordinator for Human Rights, Department of State DIA
, Defense Intelligence Agency DINA
, Direccion de Inteligencia Nacional, National Intelligence Directorate, Chile Dissem
, dissemination D/LOS
, Staff Director, NSC Interagency Task Force on Law of the Sea DOD
, Department of Defense DOD/ISA
, Bureau of International Security Affairs, Department of Defense DOD/OSD
, Office of the Secretary of Defense Dols
, Dollars"
10,t_DOD_1,DOD,Department of Defense
11,t_Deptoff1,Deptoff,Department of State officer
12,t_ECOSOC_1,ECOSOC,Economic and Social Council (United Nations)
13,t_EC_1,EC,"Executive Council (Rhodesia) ERDA, Energy Research and Development Administration Exdis, exclusive distribution EXIM, Export-Import Bank"
14,t_FBS_1,FBS,forward-basing system
15,t_FMS_1,FMS,foreign military sales
16,t_FRG_1,FRG,Federal Republic of Germany (West Germany)
17,t_FYI1,FYI,for your information
18,t_FY_1,FY,fiscal year
